хорхе луис борхес | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Jorge-Luis-Borges.html 1 
村上 春樹 | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Haruki-Murakami.html 1 
луис борхес | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Jorge-Luis-Borges.html 1 
хорхе луис | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Jorge-Luis-Borges.html 1 
луис борхес argentin | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Jorge-Luis-Borges.html 1 
村上 春樹 popular | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Haruki-Murakami.html 1 
春樹 | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Haruki-Murakami.html 1 
村上 | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Haruki-Murakami.html 1 
борхес | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Jorge-Luis-Borges.html 1 
луис | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Jorge-Luis-Borges.html 1 
хорхе | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Jorge-Luis-Borges.html 1 
борхес argentin | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Jorge-Luis-Borges.html 1 
борхес argentin writer | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Jorge-Luis-Borges.html 1 
春樹 popular | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Haruki-Murakami.html 1 
春樹 popular contemporari | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Haruki-Murakami.html 1 
abandon | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Jane-Austen.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/author/Charles-M-Schulz.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/author/E-E-Cummings.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/author/Alexandre-Dumas-fils.html 1 
abandon demand | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Charles-M-Schulz.html 1 
abandon demand success | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Charles-M-Schulz.html 1 
abandon tradit | https://cs.brown.edu/courses/csci1380/sandbox/4/author/E-E-Cummings.html 1 
abandon tradit techniqu | https://cs.brown.edu/courses/csci1380/sandbox/4/author/E-E-Cummings.html 1 
abandon write | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Alexandre-Dumas-fils.html 1 
abandon write novel | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Alexandre-Dumas-fils.html 1 
abandon wrote | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Jane-Austen.html 1 
abandon wrote extens | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Jane-Austen.html 1 
abbei | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Jane-Austen.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/author/Alfred-Tennyson.html 1 
abbei note | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Alfred-Tennyson.html 1 
abbei note book | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Alfred-Tennyson.html 1 
abbei persuas | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Jane-Austen.html 1 
abbei persuas publish | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Jane-Austen.html 1 
abil | https://cs.brown.edu/courses/csci1380/sandbox/4 3 https://cs.brown.edu/courses/csci1380/sandbox/4/index.html 3 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/abilities/page/1/index.html 3 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/choices/page/1/index.html 3 https://cs.brown.edu/courses/csci1380/sandbox/4/page/1/index.html 3 
abil abil | https://cs.brown.edu/courses/csci1380/sandbox/4/tag/choices/page/1/index.html 1 
abil abil choic | https://cs.brown.edu/courses/csci1380/sandbox/4/tag/choices/page/1/index.html 1 
abil choic | https://cs.brown.edu/courses/csci1380/sandbox/4/tag/abilities/page/1/index.html 2 https://cs.brown.edu/courses/csci1380/sandbox/4 1 https://cs.brown.edu/courses/csci1380/sandbox/4/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/choices/page/1/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/page/1/index.html 1 
abil choic choic | https://cs.brown.edu/courses/csci1380/sandbox/4/tag/abilities/page/1/index.html 1 
abil choic harri | https://cs.brown.edu/courses/csci1380/sandbox/4/tag/abilities/page/1/index.html 1 
abil choic tag | https://cs.brown.edu/courses/csci1380/sandbox/4 1 https://cs.brown.edu/courses/csci1380/sandbox/4/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/choices/page/1/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/page/1/index.html 1 
abil rowl | https://cs.brown.edu/courses/csci1380/sandbox/4 1 https://cs.brown.edu/courses/csci1380/sandbox/4/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/abilities/page/1/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/choices/page/1/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/page/1/index.html 1 
abil rowl author | https://cs.brown.edu/courses/csci1380/sandbox/4 1 https://cs.brown.edu/courses/csci1380/sandbox/4/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/abilities/page/1/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/choices/page/1/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/page/1/index.html 1 
abil tag | https://cs.brown.edu/courses/csci1380/sandbox/4 1 https://cs.brown.edu/courses/csci1380/sandbox/4/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/page/1/index.html 1 
abil tag abil | https://cs.brown.edu/courses/csci1380/sandbox/4 1 https://cs.brown.edu/courses/csci1380/sandbox/4/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/page/1/index.html 1 
abolitionist | https://cs.brown.edu/courses/csci1380/sandbox/4/author/J-K-Rowling.html 1 
abolitionist william | https://cs.brown.edu/courses/csci1380/sandbox/4/author/J-K-Rowling.html 1 
abolitionist william wilberforc | https://cs.brown.edu/courses/csci1380/sandbox/4/author/J-K-Rowling.html 1 
absolut | https://cs.brown.edu/courses/csci1380/sandbox/4/tag/inspirational/page/1/index.html 6 https://cs.brown.edu/courses/csci1380/sandbox/4 2 https://cs.brown.edu/courses/csci1380/sandbox/4/index.html 2 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/be-yourself/page/1/index.html 2 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/inspirational/index.html 2 https://cs.brown.edu/courses/csci1380/sandbox/4/page/1/index.html 2 
absolut bore | https://cs.brown.edu/courses/csci1380/sandbox/4/tag/inspirational/page/1/index.html 3 https://cs.brown.edu/courses/csci1380/sandbox/4 1 https://cs.brown.edu/courses/csci1380/sandbox/4/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/be-yourself/page/1/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/inspirational/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/page/1/index.html 1 
absolut bore marilyn | https://cs.brown.edu/courses/csci1380/sandbox/4/tag/inspirational/page/1/index.html 3 https://cs.brown.edu/courses/csci1380/sandbox/4 1 https://cs.brown.edu/courses/csci1380/sandbox/4/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/be-yourself/page/1/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/inspirational/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/page/1/index.html 1 
absolut ridicul | https://cs.brown.edu/courses/csci1380/sandbox/4/tag/inspirational/page/1/index.html 3 https://cs.brown.edu/courses/csci1380/sandbox/4 1 https://cs.brown.edu/courses/csci1380/sandbox/4/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/be-yourself/page/1/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/inspirational/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/page/1/index.html 1 
absolut ridicul absolut | https://cs.brown.edu/courses/csci1380/sandbox/4/tag/inspirational/page/1/index.html 3 https://cs.brown.edu/courses/csci1380/sandbox/4 1 https://cs.brown.edu/courses/csci1380/sandbox/4/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/be-yourself/page/1/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/inspirational/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/page/1/index.html 1 
absorb | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Dr-Seuss.html 1 
absorb write | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Dr-Seuss.html 1 
absorb write book | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Dr-Seuss.html 1 
absurd | https://cs.brown.edu/courses/csci1380/sandbox/4/tag/life/page/1/index.html 2 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/life/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/regrets/page/1/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/page/7/index.html 1 
